sample_size,sample_mean,ci_lower,ci_upper
50,85.74019999999999,81.28838718164565,90.19201281835433
50,85.6286,80.69502917570489,90.56217082429512
50,85.155,80.43402186457087,89.87597813542914
50,84.75359999999999,80.29078046630428,89.2164195336957
50,84.01359999999998,78.45568588350484,89.57151411649512
50,84.8228,80.05403283959637,89.59156716040363
50,78.11039999999998,74.01827840803134,82.20252159196863
50,81.9218,76.41208078664766,87.43151921335235
50,83.31119999999999,78.1208323753414,88.50156762465858
50,89.15660000000001,85.31853494842832,92.9946650515717
50,81.6316,76.54332698553861,86.7198730144614
50,83.476,78.65445547999398,88.29754452000601
50,84.3302,80.04185742487101,88.618542575129
50,85.56360000000001,81.14511061525141,89.9820893847486
50,86.47120000000001,81.55116994262191,91.39123005737811
50,90.1682,85.99595873003682,94.34044126996318
50,84.46499999999997,79.94102651731907,88.98897348268088
50,81.081,76.27480968949419,85.88719031050582
50,87.74959999999999,83.2505717464928,92.24862825350718
50,86.2756,81.63919248463037,90.91200751536962
50,85.212,80.65484868208219,89.76915131791782
50,82.61560000000001,77.78520242740042,87.44599757259961
50,84.06219999999999,78.98683728620858,89.1375627137914
50,83.023,78.27713465795752,87.76886534204247
50,85.21940000000001,80.23551771433394,90.20328228566608
50,86.179,81.60649039323043,90.75150960676957
50,85.289,80.59124483686091,89.9867551631391
50,84.79899999999999,80.58558284030644,89.01241715969354
50,84.191,79.25811641183374,89.12388358816627
50,79.6506,73.71938817692573,85.58181182307426
50,85.3014,80.84396877671276,89.75883122328725
50,84.50460000000001,80.03961228540818,88.96958771459184
50,86.18400000000001,81.70769910216036,90.66030089783966
50,88.0718,83.87546920365136,92.26813079634863
50,83.32080000000002,78.27147504921462,88.37012495078542
50,87.41080000000002,83.4647566784659,91.35684332153414
50,85.72480000000002,81.21580267588638,90.23379732411365
50,82.2286,77.56500334815112,86.89219665184888
50,82.5078,77.14418918804282,87.87141081195719
50,83.1868,78.61387331346937,87.75972668653064
50,86.36320000000002,82.00208781483624,90.7243121851638
50,89.1194,85.02820815637105,93.21059184362895
50,86.86019999999999,82.63720270309534,91.08319729690464
50,84.63519999999998,79.80052708050853,89.46987291949144
50,84.33220000000001,79.41199639432027,89.25240360567976
50,83.5246,78.53539904863956,88.51380095136045
50,87.1344,82.61623465563997,91.65256534436003
50,86.02820000000001,81.68208438713557,90.37431561286445
50,81.20260000000002,76.23981514070822,86.16538485929182
50,86.60519999999998,81.8090440380588,91.40135596194116
50,85.1798,80.4487928121737,89.9108071878263
50,86.1966,81.31556227106408,91.07763772893593
50,80.9742,75.85243721132811,86.09596278867188
50,89.1026,85.38948864249724,92.81571135750275
50,84.70299999999999,79.65398194909147,89.7520180509085
50,85.17080000000001,80.8379980368099,89.50360196319012
50,81.97220000000002,77.24111725325545,86.70328274674458
50,85.20960000000001,80.28392579101542,90.1352742089846
50,85.43360000000001,80.76106984155952,90.10613015844051
50,82.08419999999998,77.03782438534108,87.13057561465888
50,86.4348,81.09758805921443,91.77201194078556
50,84.7024,79.84792835950029,89.55687164049971
50,89.0896,84.55401849970085,93.62518150029916
50,79.8832,74.03544002760168,85.73095997239832
50,82.36280000000001,77.41746235185666,87.30813764814336
50,83.8012,78.61407444695001,88.98832555304998
50,89.0976,85.22172119864204,92.97347880135796
50,84.3132,79.56608242972811,89.06031757027188
50,88.50479999999999,84.48031410348302,92.52928589651695
